anomaly_type,agent_id,transaction_ids,description
velocity_spike,edbeadd3-be59-4797-927c-af6f1743a05e,84bd1f8e-2905-4ddd-80c8-2525e4ddf600;38c57fba-70f2-445b-b047-5f43ad209235;ba8f8ebf-2e3f-48ea-abf3-698b8064501d;624dac0c-9906-4165-95f2-9799b579a681;87fd99b6-6096-46b5-be65-d1aa2d460f1b;c83364fe-708a-483d-8bc3-f61230587d2d;ca8540a5-62b1-4975-8191-1f201020ea9a;bddb3d7d-7582-4e2a-a046-236e023a8e2f;37dd275e-b73d-4d68-8b1b-a518cd72068a;4591be83-058f-4a32-867c-71a106e05043;c894e1f3-8dcf-4bde-9f46-f12fd83ea176;99d04c52-ae66-4c03-ba1f-cf29010abc00;4127b027-a96a-4ae6-8b66-6d73d8d9c1bc;257b1b77-71ea-4208-b072-e7b3d1612e86;402c0d4c-e502-4c12-b91a-4263f74bc263;fcca0ec0-3ab7-4c88-a10f-707f4a3f13e5,Burst of 16 large cash-outs in under 1 hour
velocity_spike,b63dcc85-73d6-4313-83f3-e838d97947b1,8a57cd14-f1e1-43d0-87ce-e9124e1918fb;e973bfb5-73d4-473e-b4b8-24bbf8d64602;865fbec9-48ee-484c-8bb5-cc37f41d32f9;6e578089-11c5-43e7-855c-1be3e2e947be;e79d476b-f229-4e29-b7ed-7b9773e8dbc1;e4699ddf-7cec-4899-b6cc-aa225864f9c2;f60b70b8-2ef4-4d6e-a16c-f7d89aeb68d8;14edd887-9f5c-4b31-999d-b5151ef84a6a;b835ee2d-4e62-4899-8a62-4cf771570c29;6365ebc6-20e2-41fa-8ad5-ef4196049851;ace7e52d-87ee-4ce2-8256-0f395bff74e2;6b468e4f-c38d-45db-8489-10163235fa4d;e152996a-9997-4aa9-9589-f24dee24f28b;73e56bd3-91af-4f3e-bd75-72152fd5b90d;c1a0ab04-2faf-4030-8574-a33969e7c4fe;7c75ed80-0e91-4c8f-91df-2dd5cf047716;222fef9b-898a-4ee1-aed8-5ccdaae68fbe,Burst of 17 large cash-outs in under 1 hour
velocity_spike,b63dcc85-73d6-4313-83f3-e838d97947b1,c6f604de-5b08-4ffb-b6dc-4323b4d914f5;7bd5f9df-4436-4e11-b503-d1933bf2533b;1aaa12ca-1ce3-47ee-af0d-60a98c4e8ec3;3522a281-1e2b-4b98-851f-1b736406dd5d;89c5bb21-82f3-45d2-9622-562916989e75;b3db6d2a-8ecd-43fa-896d-82ff58e1092f;7388050a-35f7-48e1-9914-8c1758b3646c;5d61f4fa-8881-4d84-b3f6-a3b27e562305;7a2c8ee6-2f5c-42b6-b3cf-7ed2dac51910;a327f046-1d58-4e4a-ae61-8549875caea0;4358390f-2f0c-4a8a-9524-b6a3cf98f2a8;f6abea88-be69-451d-a700-4e13e3346438;f1e288f3-ad3b-4477-a528-d75bca7a08e0;fe175539-b4de-4a36-8c8f-80184c024283;e50d29f6-acf3-4fc8-a5ea-56d2c8355e2c;8ac2d16d-dcf1-4d88-b1ac-53e790179d19;aec5820b-aa84-4765-a958-06c2719691df;47c460ca-52cc-4eda-9444-842511576c48;7ed3a85b-4107-489a-88c4-3af32d76928e;4fe26e33-1511-4778-954d-43662e03486f;2022d09d-1423-422a-8f82-7464c96610b1;5aa0752d-6b85-4855-9e32-d9833b763838,Burst of 22 large cash-outs in under 1 hour
velocity_spike,ee804021-2598-4018-a5b1-60af17b62bd7,cf647a4e-0986-4818-a93a-9e204f5f978f;06ae2e38-3e71-4d24-a8e1-96347456d280;501de82a-991f-461b-8df7-5030acb87a29;f86412d4-20e6-4bd9-8209-72f4e1928a1e;a705b084-b01f-4d04-8bd2-dc1f04002128;9037c75d-aff9-420e-b388-1ef2eaa33ef7;e451017d-e67c-4f66-8154-64424f1e366c;e2f6ad0f-022e-46ba-809c-9ed120d5435c;a3af6989-c1c1-4d03-923b-3d8e061c3774;2b025370-89d8-4aeb-afcc-3571a9e89230;aaaa6e90-7373-453c-91bd-fe52502e2878;ddec6755-ece5-4ab8-80f6-077f99e14122;e8754ddb-df60-4b33-a202-8102f91c685f;0b30eb45-578e-4d3b-bba2-d51b68fd5dd1;0910ad73-a6f8-45d6-a159-17b17170b2bf;c432e15f-bc80-4bac-9494-ab13414efed9;feeaa128-3c37-49f1-8a06-95e5ed86183b;d08205c1-1cbf-4147-9a38-aad1d3ef19c0;233f98fe-ebbc-4c6e-ba67-db6b34d181ac;3dc22414-7a16-4fad-b5b7-ea019d8c72e7;ed1d27ed-7580-456e-b072-6c4ad6d0d63f;5a03aa52-fbfe-453c-807a-455e6ae3c106;d3d8eb8b-f3c9-4ab7-859c-cfc603f434c7;c51f054c-f82c-4358-9e98-712c65570e52;e9993af0-4138-4e1d-bec7-bd233e12647b;94d49d7f-ed38-46d1-bb99-06ca9c11f211;79da68af-4d57-493d-8da2-1ee4eca9b119;41b681fe-4118-428d-b8aa-650bae9f2b85;1bc8a8fa-8872-440b-a9f6-b193b52cc9e7;a2350281-8c5a-41ee-89ba-c0279baaa7c0,Burst of 30 large cash-outs in under 1 hour
velocity_spike,4a3feed6-8d43-4a9e-9d76-1be4bfe739b1,369b8607-3cfe-4b38-bb75-01f3ff16bd29;fc166217-0ddd-4fb6-924f-edcdb05c56c1;1e4bedea-e023-42a9-b1b6-498df837b0a4;53c2ad03-c907-4121-bf84-2375e2c927f3;84bd6073-2be2-41eb-b6ab-47ccf722c86c;3b963fe9-032d-498c-93a5-f32e5a2c1409;a23c5221-79c1-4d03-ac1a-a6e559a2db28;092f9e2c-b2ba-4f03-940b-fd14449248e7;a1c8ed9b-b787-43c8-8c32-8f2d76999ba6;35837947-ae75-47a9-a3dd-4e573d7e7ba5;83bf8140-62f7-402f-b4d7-d8dc3e2ed1be;06c95a31-6404-4821-ab70-e76762455ef7;a1e4f28c-49e3-42ce-8547-adade3b0f95e;576f12bf-0352-44c8-b12e-c4064b68ec96;39f8a863-faaa-457a-9405-fddc34cc9ce6;389abc18-fb31-48fc-839a-1e1dd06d692f;1564b5fc-3bc1-4deb-bfe7-75811c88b7e8;6503a061-29a9-419c-967a-f8c60bcc34bd;7f5492d6-6f3e-4579-9d1b-321e6765b3f7;31f33119-08ce-4591-bee3-bb318ff58c4d;e2a98343-c5a5-4d31-8621-0b41a96631d1;3cbd3391-e49a-4ba7-b93c-ec59fc48e7f8;7c2f0e9c-9cac-4ee9-b560-6534a76b0d49;13ca3502-85cb-4652-8414-edf2e91f3f67;f873241e-e5be-4d4e-8b78-f5921ec7af27;1636bff9-eb8b-4773-8b38-34dd7918f70d;1bbf0b25-e65c-4a89-af2d-bea3eb1c345b;998a3dc4-336c-49eb-95c3-1204ae3d9665,Burst of 28 large cash-outs in under 1 hour
velocity_spike,ee804021-2598-4018-a5b1-60af17b62bd7,d53561e3-cdf3-4320-b95e-fc42dded396c;43cb0943-129c-4d43-ba80-3de8c2a06183;73bf7d41-5c3c-4f4b-b73c-4348e93764a2;623fda3e-24b6-4ca0-ae32-a03405e38aa0;605953c4-1385-48e2-8b1e-a6790134e5ea;11da5d85-f077-48a2-bf8a-230eac2f27dd;a335265e-3fd6-4944-86a0-9ac712bb0d9b;721d5e53-66e1-4ec3-80ef-8dbd1c910901;d5e77535-3527-4aed-9add-e57fe640a5bc;c2afa407-4a0b-4858-be52-a1f6ed3e3eff;60557772-bbdc-4f7b-aea0-b425a99bde20;861ebe86-a027-40ae-8caa-37a039652abf;186d7cc6-f099-4e9d-95a0-e086d2cad475;6e34f4f4-5b25-4db8-99e8-33e4c4bafa43;ec2e5ec3-5276-4455-814d-35ad4f3ef2a2;4fa2920d-29c9-47d8-bd31-a03051567d69;062cd354-0727-414a-a00f-8b59daedbedf;b6feef79-4a7a-4499-848a-8ef2bf8b2f75;7a823e5c-323f-48e2-8f43-7bdca5a4179d;ccafb2d4-4b0d-4d3f-9d2b-27e63cfaa5fb;4ef4a2fe-b5ab-410d-af7f-cc81b32f5a13;00da6d2f-8d24-4e5b-a4bb-503aaa59c5e0;d7631fbf-c5b2-442b-b51a-862636ebfc87;d3bf675a-39b8-4dc9-a6e5-f3144d16fd88;65894e33-fd43-470a-b97c-2bf7220d8d0d;19f79cb7-1946-411d-9dbd-bfaa43b14b22;bd3b2821-6727-43fe-827e-37928f1974e8;eeb23d51-193f-4490-bbed-e44b5afaa4ef;81485736-d834-455e-b3c8-942f711fd6d7;b86a6e3e-2068-414b-a2c9-18c36d85713a,Burst of 30 large cash-outs in under 1 hour
velocity_spike,ee804021-2598-4018-a5b1-60af17b62bd7,34b18c61-3e3c-41f3-add7-1fa1bf2f40a3;dfa41e84-b5c5-41b6-bbce-2ece61884183;5f720701-15e3-49bc-b90a-19bfd6481f40;da04e61d-694e-47f3-ac47-95cf859c74a3;6d0266d9-cd10-4f33-b3c3-bcd0261b66a3;2052be21-ec4d-4938-976c-2e74b5145757;dc964bf0-acf4-4f8e-9e54-4369fced8b97;e125459c-6fdb-4ee9-80ce-149f04a3d86b;8d94cc43-4f8f-4dd0-b6a7-63403344e28c;605237d4-cd66-41e7-8c42-bb65357dbe70;b31cb1a8-e74a-408e-8bd2-4a72b90af51e;303f04e7-5e55-4716-8502-5a169239b9b6;4c201547-cd01-4ac7-90c4-fa377d852e28;72d8efa0-b3db-422f-8af9-0d70663d4a3e;574d32cb-1057-46e4-8f00-a51854a9c7ef;009d4007-fb4a-4107-9788-1002dbb513ab;90c30a54-5b4e-4d91-b5a1-04f1a370e8fd;21b7d85a-4279-4f88-9e37-3893d5e8606b;101f0696-71e4-4776-878c-b5bfcc401528;2a566a13-fcbb-4791-83f4-80a6f701b07f;6fd9f90d-3b8e-4b99-a92d-cee1a9ebfa2b;2fe3c85f-af8f-4086-93e3-dcaa9fbb8685;57a97888-ac86-4473-80b5-194bcbcddad6;8088dc48-d92d-484f-9f0c-adddd26bda84;abfa8ac2-a1bd-4db8-b91e-3475d0f73d13,Burst of 25 large cash-outs in under 1 hour
velocity_spike,10a131ee-52c9-4d4b-bbde-0f731290f9e4,6e67bf8d-6e9c-4aff-b17a-2a7b8438c24f;5db49360-df3e-4faf-81b8-d0bb12b06d75;1960b580-6b5c-4cd3-a9e0-423acf93cc44;2e2553c8-f127-44a4-b243-b6257ab9e586;4380efcc-a912-4114-9dc9-6bcab0f0aeb1;75d1620c-641a-465a-83df-d90e5418da9e;ae88beb3-cbb6-49a6-9d83-875d2cbdf1ab;8f748497-2c6c-42dd-8dc1-e5bdd1e64962;8de0b72c-d7d5-45b1-a539-e2c4453b8629;01a1a7e2-d7a5-4213-a11e-c344312c5fae;490fbd5c-7ba2-4e03-ac60-13c3c5c51921;c71aa218-dc41-4a2a-a59c-79a766f739ff;24fa7031-df75-4699-822a-b2ed2da8a5da;aab4c4ca-fff1-4a27-b27a-e0f4dab9e451;a3532e44-bb17-4f98-a906-8a668cf3131c;4510369b-cac6-4bd3-ab1e-28e6a560d317;92ae368c-2895-435e-b6df-1991fe96227f;602a1378-1c91-4785-9eac-c89b3f73feda,Burst of 18 large cash-outs in under 1 hour
velocity_spike,4a3feed6-8d43-4a9e-9d76-1be4bfe739b1,5ca7c38c-a9a7-4671-bc8e-3bf626336720;04f180a0-8729-4932-93e5-d2d674821821;52a8a74b-93b8-43d7-b690-c107228c9253;12578ec8-10f4-49c2-8bf4-d369d9ac910b;f5d3ebad-af8d-4755-a6d1-317074c38c42;eae75b24-88ea-47ac-a4bb-784421e3fa69;8bcbfba5-bd74-4e31-a73c-ce30272cbc00;9ff211e0-91e8-47bb-a102-20edb6b0e057;d766c419-8f28-4b81-a225-3b34f25e6c26;75d18e42-75c4-4e20-a9bf-e177654dc7f7;d8ddfe8e-6fb8-4fc1-813d-111e6d7ed2ec;2125506b-b05b-44ec-bca6-b395c77b1a91;8f2941f4-db5d-495c-a51c-56492c9d2296;e9f65243-6489-4b2b-9acf-fd2ed3ef2efd;c1a5ba09-aa2a-47a4-a165-f8cc2d03400a;bd3a63f9-38de-4991-92c4-ee37a2cf2dd4;4995346e-5976-4743-ac62-189af34d3aad;abd06d61-ed7d-4dbc-9c88-7821ce750fa5;f582abcd-11da-46ee-8a9a-e7cad7f73105;915ff9fe-270b-40d9-bb1e-3cba9d9a764f;cf52e4e3-86dd-4c79-b8fb-88970635ed75;59a60d48-3186-43fd-9de9-ff1d02af1a67,Burst of 22 large cash-outs in under 1 hour
velocity_spike,522a74ea-ac50-4e50-be1d-cb2790f06579,3305792c-a5ea-4158-9544-7185f4c72b6b;10d762ab-4aa9-4484-be99-ef1c657d3a2d;af047b70-7ff4-4849-85bd-36f127af3472;d70b4505-bb6e-4f19-a17b-cbd97fb94442;ab77cda1-f526-483e-bef2-05dcf7a6e266;2e29ed0c-3986-4250-8195-10a4ec239c2b;227e5cba-c902-4eb2-8c23-ff37df35d6de;c170ef3e-f7a0-4012-af89-9ea6b8f33030;640e7e45-6983-46a3-b256-b6effabf7320;f5595d63-101a-4959-a03a-3bcc535dc383;67ce915a-282f-4659-acb7-179f359d9e22;0bb9a573-2147-4d3c-a1dd-259576d810ec;b1f32ec5-b001-4db0-ad00-382aa7dc2fe4;92b7cb0f-7447-43ea-b992-b0f025027bd6;6e08222d-c6af-40c0-9cc5-c815adc790ed;298fc482-03c6-4b8a-9057-3dc5954c1413;fe909936-ebd8-460c-96b0-86acc1ed260c;b93b9d1e-2bb7-4a6f-a0c3-8c4adad1f99b;9aa05509-774b-40b6-b942-51cf3bb32c77;b7e037ed-5642-43cb-9d16-d1f438a53d28;c044e20f-6400-4e7a-a9c0-28909da20b63;fde6d7b4-eac6-4fd5-8cfc-0a8e3448fceb;f340134a-45ed-4963-b208-aa87de35668b;66faa466-f685-41f8-92ca-15163fa85436;2cdf2afa-0345-46e3-b3ad-2b7b411a698e;d85e7122-56b7-4440-af6f-cc520a0dc8ba;832a7b54-3157-42c4-a984-400fae9cc46e;fe641e09-70f6-4ce7-9096-5e9cdb95ceab;ca1f6ce8-bb35-4160-b6e2-a1e6ba8d6c6b;226988dc-1f75-451d-ba48-7a2568b4a35c,Burst of 30 large cash-outs in under 1 hour
